class,SignalEnergy,XAmplitude,YAmplitude,ZAmplitude,GradientDirection,GradientNormSteep
circle,4129.310312732386,0.05948569351677865,0.22960670843129927,0.15556000319572316,-2.241042485955605,1.0703610267438706
circle,3646.401335834417,0.434094667611332,0.517903152925175,0.6959682437107604,0.5959306038789622,1.1907998943093363
circle,9027.355678868269,0.9410326138777011,0.5778439607592328,0.901494038536387,0.8069995789146842,1.5056348265902857
circle,5467.115269354065,0.4870494406703722,0.1808971918065207,0.9188455920636601,0.8737985635357289,1.9758254963853819
circle,4566.759165122383,1.0353292351283039,1.1803390682897832,1.3599086899956214,0.8548312501464913,1.7482852865806817
circle,6714.680390149277,0.5963464861771759,0.16309031978422844,0.4333705435300663,-2.35504842921528,2.116325779642607
circle,4624.548085406144,1.0971474938382275,0.5142729268002557,0.39229339324863366,0.867054051354331,1.469606614001605
circle,5627.335301963331,0.027373182327679584,0.35590873619965396,0.3520655123419446,0.9061822621472121,2.1480466560708438
circle,5713.06436034422,1.452959132530244,1.0650761046295814,0.8171620476369318,0.8815590595084744,2.2701673232298454
circle,4310.868345612572,1.3370709190800214,0.8988409967523227,0.20713013507163366,0.9010679180215209,2.1827379133441736
circle,9468.387631624411,0.7552039996208968,0.7645878250398552,0.507983693426776,0.8821985197192569,3.137628240261598
circle,3231.5391568932682,0.8263702966814979,0.6116427044745378,0.5282686473829072,0.9344549223010116,1.6474648187082475
circle,6903.210992590451,1.0169148485615018,1.64097293309724,0.9516579608541811,0.9107186403940979,3.756941701549829
circle,7085.259726443169,3.8011896602209228,1.886500477666189,0.16263677360857942,0.8636585174147501,2.9087143366879498
circle,5799.500621161523,0.3764948315692367,1.5872553977174544,1.357685242588339,0.8649815310867691,3.1685015055843135
circle,4671.42081921552,0.5966677249362805,0.30956219404572516,1.027696880868832,0.8725139660178974,3.1812266083970373
circle,8292.610511843175,1.1966174622398218,1.1444858732592083,0.8863361314418691,-2.3221844251911956,2.3123968821931977
circle,3637.893108380746,1.7939200883257684,1.2706580629298507,0.5868226423900889,0.8903088230140436,2.7087195496671255
circle,8003.691165281367,0.8244002830659585,0.3839087884116146,1.9683438245872562,-2.665987930961757,3.678199068776989
circle,10407.994132227921,0.15537542618016054,0.9265599174292171,1.1973949006827123,2.3213907876662354,3.6451159146863072
